,position,city,specific_position,company_name,company_size,company_type,salary,education,ability,experience
62,前端开发,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科, ,经验不限
63,前端开发,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科, ,经验不限
64,前端开发,上海·静安·大宁路,前端开发工程师,上海信息人才服务有限公司,100-299人,国企,1.4万-1.8万,学历不限, ,3-5年
65,前端开发,上海·浦东·金桥,初级前端, ,500-999人,合资,9千-1万,本科, ,1-3年
66,前端开发,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.8万-3.5万·14薪,本科, ,经验不限
67,前端开发,上海·浦东·唐镇,鸿蒙开发, ,1000-9999人,上市公司,1.8万-3万,大专, ,经验不限
68,前端开发,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.2万-2.4万·14薪,本科,C++ C Python,经验不限
69,前端开发,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.5万-3万·15薪,本科, ,经验不限
70,前端开发,上海·闵行·七宝,业务跟单-前端,安碁科技(深圳)有限公司,100-299人,外商独资,7千-1万,大专, ,1-3年
71,前端开发,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.2万-2.4万·14薪,本科, ,经验不限
72,前端开发,上海·杨浦·大桥, , ,1000-9999人,上市公司,面议,硕士, ,3-5年
73,前端开发,上海·浦东·金桥,鸿蒙工程师（安卓 前端 ios） 双休 公积金全额缴纳 全国出差, ,10000人以上,上市公司,面议,大专,React Native Android Studio SDK Java C++ JavaScript iOS 鸿蒙,经验不限
74,前端开发,上海·黄浦·半淞园路, ,上海帆立信息科技有限公司宁波分公司,人工智能,100-299人,9千-1.8万,本科, ,1-3年
75,前端开发,上海·青浦·金泽, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万,本科, ,经验不限
76,前端开发,上海·浦东·金桥,鸿*开发工程师（全国+学信网可查学历即可）, ,10000人以上,上市公司,面议,大专, ,经验不限
77,前端开发,上海·浦东·唐镇,前端,北京晏英科技有限公司,咨询服务,20人以下,1.2万-2.4万,本科, ,3-5年
78,前端开发,上海·杨浦·大桥,高级前端开发工程师-商家产品, ,1000-9999人,上市公司,面议,本科, ,1-3年
79,前端开发,上海·静安·彭浦, ,上海吾道信息科技有限公司,10000人以上,民营,1.5万-2.5万,本科, ,3-5年
80,前端开发,上海·浦东·陆家嘴, ,上海邦芒人力资源有限公司,500-999人,民营,1.2万-1.7万,本科, ,1-3年
81,前端开发,上海·闵行·虹桥,移动web前端开发实习生,上海熵变网络科技有限公司,20-99人,民营,5千-8千,本科, ,无经验
82,前端开发,上海·静安·彭浦,前端开发工程师,兰州沐先信息科技咨询有限公司,20人以下,外商独资,1万-2万,大专, ,3-5年
83,前端开发,上海·杨浦·五角场,前端开发,上海比孚信息科技有限公司,100-299人,民营,1.7万-2.3万,大专, ,5-10年
84,前端开发,上海·杨浦·新江湾城, ,大连弗斯特高新人才发展管理有限公司,100-299人,民营,2万-2.4万,大专, ,3-5年
85,前端开发,上海·浦东·张江,node.js/TypeScript后端开发,北京众策科技咨询有限公司,20-99人,民营,1.4万-2万,本科, ,5-10年
86,前端开发,上海·黄浦·小东门, , ,300-499人,民营,1.6万-2.4万,本科, ,5-10年
87,前端开发,上海·杨浦·大桥,前端实习工程师（2025应届本科毕业生）,上海趋菱信息科技有限公司,20-99人,民营,150-300/天,本科, ,无经验
88,前端开发,上海·浦东·金桥, , ,10000人以上,上市公司,面议,大专, ,3-5年
89,前端开发,上海·闵行·虹桥, , ,10000人以上,民营,1.4万-2万,大专, ,3-5年
90,前端开发,上海·浦东·唐镇,原生安卓前端开发工程师, ,500-999人,上市公司,1.3万-2万,本科, ,5-10年
91,前端开发,上海·杨浦·大桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.4万-2万,本科, ,3-5年
92,前端开发,上海·普陀·长征, ,摩陀娑罗(上海)航天科技有限公司,20人以下,股份制企业,1万-2万,本科,JavaScript HTML CSS .NET 网站架构 网站后端 网站开发 Java,3-5年
