Unnamed: 0,position,city,specific_position,company_name,company_size,company_type,salary,education,ability,experience,min_annual_salary,max_annual_salary
249,java,上海·浦东·唐镇,java,北京晏英科技有限公司,咨询服务,20人以下,1.2万-2.4万,本科,无要求,3-5年,144000.0,288000.0
250,java,上海·浦东·金桥,中级java软件开发工程师,南京争锋信息科技有限公司,20-99人,合资,1.2万-1.8万,本科,无要求,经验不限,144000.0,216000.0
251,java,上海·浦东·金桥,Java开发工程师,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,Python C++ C,经验不限,210000.0,420000.0
252,java,上海·浦东·上钢新村,Java中级开发工程师（银行项目）,其他,300-499人,上市公司,1万-1.5万,本科,Java JavaScript CSS Spring Mybatis Struts MySQL Oracle,1-3年,120000.0,180000.0
253,java,上海·徐汇·田林,初级java开发工程师,上海海隆华思计算机系统有限公司,100-299人,合资,6千-1.2万·13薪,本科,无要求,无经验,78000.0,156000.0
255,java,上海·浦东·金桥,java,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科,无要求,经验不限,210000.0,420000.0
256,java,上海·浦东·潍坊新村,数据开发-DM数据库的存储过程及视图-java接口,其他,300-499人,民营,1.3万-1.5万,本科,无要求,3-5年,156000.0,180000.0
257,java,上海·徐汇·田林,【对日赴日软件工作】对日赴日Pega开发工程师 上海/日本,上海达巴辛软件有限公司,20-99人,民营,1万-2万·13薪,大专,无要求,1-3年,130000.0,260000.0
258,java,上海·静安·大宁路,Java开发工程师,上海信息人才服务有限公司,100-299人,国企,1.5万-2.5万,本科,无要求,5-10年,180000.0,300000.0
259,java,上海·松江·九里亭,Java开发工程师,摩兰自控系统（上海）有限公司,房地产开发,股份制企业,1万-1.5万,本科,Java Hibernate Mybatis MySQL MongoDB PostgreSQL SQL JavaScript,3-5年,120000.0,180000.0
260,java,上海·浦东·金桥,java,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·15薪,本科,Python C++ Java,经验不限,225000.0,450000.0
261,java,上海·徐汇·虹梅路,Java开发工程师,其他,100-299人,民营,1万-2万,本科,前端开发 后端开发 Vue Java 全栈开发 SpringBoot,3-5年,120000.0,240000.0
262,java,上海·黄浦·淮海中路,java,易初特种电线电缆（昆山）有限公司,1000-9999人,民营,2万-2.5万,大专,JavaScript Python Spring NoSQL,5-10年,240000.0,300000.0
263,java,上海·松江·新桥,Java开发工程师,其他,1000-9999人,股份制企业,9千-1.4万,本科,后端开发 SpringBoot SpringCloud Java SQL Mybatis 多线程 Elasticsearch,3-5年,108000.0,168000.0
264,java,上海·杨浦·五角场,开发工程师（上海）,上海朗裕信息科技有限公司,20-99人,民营,1万-1.5万,大专,IREPORT JASPERREPORTS SOAP jQuery,3-5年,120000.0,180000.0
265,java,上海·浦东·金桥,java,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,Python C++ C,经验不限,210000.0,420000.0
266,java,上海·徐汇·长桥,JAVA开发（福建宁德上班，提供住宿）,海通安恒科技股份有限公司,1000-9999人,民营,1.2万-1.8万,大专,无要求,5-10年,144000.0,216000.0
267,java,上海·浦东·塘桥,Java开发,上海钦诚信息科技有限公司,计算机软件,20-99人,1.4万-1.7万,本科,无要求,3-5年,168000.0,204000.0
268,java,上海·杨浦·大桥,java开发工程师,其他,10000人以上,其它,1.3万-1.6万,大专,无要求,1-3年,156000.0,192000.0
269,java,上海·黄浦·南京东路,JAVA开发工程师课程/培训招生上海,51Testing,100-299人,民营,8千-1.2万,大专,电气机械项目 物联网项目 硬件项目 汽车项目 通信项目,经验不限,96000.0,144000.0
270,java,上海·徐汇·田林,【对日赴日软件工作】对日赴日IT软件工程师/对日PM 上海,上海达巴辛软件有限公司,20-99人,民营,8千-1.6万·13薪,大专,.NET iOS Android Java C++ PEGA C#,1-3年,104000.0,208000.0
271,java,上海·浦东·金桥,java,百乐元(大连)科技有限公司,20-99人,民营,1万-1.2万,大专,无要求,3-5年,120000.0,144000.0
272,java,上海·浦东·张江,java,北京永生鼎立信息技术有限公司,100-299人,合资,1.7万-2.5万,大专,无要求,5-10年,204000.0,300000.0
