Unnamed: 0,position,city,specific_position,company_name,company_size,company_type,salary,education,ability,experience,min_annual_salary,max_annual_salary
127,c++,上海·静安·彭浦,3D打印机下位机固件开发,遨为(上海)数字技术有限公司,20-99人,民营,1.3万-1.9万·13薪,本科,Python C++ QT开发 MARLIN KLIPPER STM32,1-3年,169000.0,247000.0
128,c++,上海·浦东·金桥,c++,外企德科,1000-9999人,合资,1.5万-3万·15薪,本科,后端开发 C语言 C++,经验不限,225000.0,450000.0
129,c++,上海·浦东·金桥,c++,外企德科数字技术有限公司,人力资源服务,10000人以上,1.3万-2.6万,本科,Java Python C++,1-3年,156000.0,312000.0
130,c++,上海·普陀·长征,c/c++软件开发工程师,上海艾廉信息技术有限公司,20-99人,民营,1万-1.2万,大专,无要求,1-3年,120000.0,144000.0
131,c++,上海·浦东·金桥,c++,外企德科,1000-9999人,合资,1.5万-3万·15薪,本科,无要求,经验不限,225000.0,450000.0
132,c++,上海·浦东·金桥,c++,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-2万·14薪,本科,C语言 C++ Linux开发 嵌入式开发,经验不限,210000.0,280000.0
133,c++,上海·徐汇·龙华,C++,北京易博中天科技有限公司,20-99人,民营,1.1万-1.5万,本科,C语言,3-5年,132000.0,180000.0
134,c++,上海·浦东·金桥,c++,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科,C语言 Python Java,经验不限,210000.0,420000.0
135,c++,上海·浦东·金桥,c++,外企德科数字技术有限公司,人力资源服务,10000人以上,1.3万-2.6万·14薪,本科,无要求,经验不限,182000.0,364000.0
137,c++,上海·宝山·友谊路,C++开发工程师,沈阳东硕信息技术有限公司,20-99人,民营,8千-1万·13薪,本科,后端开发 WPF QT C++ SQL Windows Linux Winform,3-5年,104000.0,130000.0
138,c++,上海·黄浦·小东门,开发,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-1.6万,本科,无要求,经验不限,180000.0,192000.0
139,c++,上海·浦东·金桥,c++,外企德科,1000-9999人,合资,1.4万-2.8万·14薪,本科,无要求,经验不限,196000.0,392000.0
140,c++,上海·松江·泗泾,Linux C/C++中级软件工程师(松江）,其他,500-999人,上市公司,1.8万-2.4万,本科,C++ Linux 中级软件工程师,3-5年,216000.0,288000.0
141,c++,上海·浦东·金桥,c++,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,无要求,经验不限,210000.0,420000.0
143,c++,上海·浦东·张江,c++高级软件工程师,上海汉朔信息科技有限公司,1000-9999人,民营,1.9万-2.3万,本科,无要求,5-10年,228000.0,276000.0
144,c++,上海·浦东·金桥,c++,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万,本科,无要求,经验不限,180000.0,360000.0
145,c++,上海·闵行·江川路,C++开发人员,大连思泰克科技有限公司,100-299人,外商独资,1.2万-1.5万·13薪,本科,C++,3-5年,156000.0,195000.0
146,c++,上海·浦东·金桥,c++,外企德科,1000-9999人,合资,1.5万-3万·15薪,本科,C++ C,经验不限,225000.0,450000.0
147,c++,上海·浦东·金桥,c++,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,无要求,经验不限,210000.0,420000.0
148,c++,上海·浦东·金桥,C/C++,其他,10000人以上,民营,8千-1.5万,本科,C语言,1-3年,96000.0,180000.0
149,c++,上海·打浦桥,C++开发工程师,北京构力科技有限公司,1000-9999人,国企,1.2万-1.8万·14薪,本科,C++ C/C++ MFC STL Unix,1-3年,168000.0,252000.0
150,c++,上海·浦东·金桥,c++,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,C语言 Java Python 嵌入式开发 Web开发 音视频开发 OpenCV MFC STL,经验不限,210000.0,420000.0
151,c++,上海·浦东·唐镇,c++,上海有大信息科技,100-299人,民营,1.5万-2万,本科,无要求,1-3年,180000.0,240000.0
152,c++,上海·虹口·曲阳路,数采模块测试开发岗（C++）,传麒科技(北京)股份有限公司,20-99人,民营,1.5万-2万,本科,Windows Linux C/C++,3-5年,180000.0,240000.0
153,c++,上海·浦东·金桥,c++,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万,本科,C语言 Java C++,经验不限,180000.0,360000.0
154,c++,上海·颛桥,高级c++工程师,衡视智能科技(上海)有限公司,20人以下,民营,1万-2万·13薪,本科,无要求,1年以下,130000.0,260000.0
155,c++,上海·浦东·花木,C++工程师（证券客户端）,其他,1000-9999人,股份制企业,2万-3万,本科,C语言,5-10年,240000.0,360000.0
156,c++,上海·浦东·金桥,软件开发（C++）-Camera部,其他,10000人以上,民营,9千-1.5万,本科,无要求,1-3年,108000.0,180000.0
157,c++,上海·浦东·金桥,c++,外企德科,1000-9999人,合资,1.8万-2.8万·14薪,本科,C语言 Linux开发,经验不限,252000.0,392000.0
158,c++,上海·浦东·唐镇,C++,上海有大信息科技,100-299人,民营,1.5万-2万,本科,无要求,5-10年,180000.0,240000.0
159,c++,上海·浦东·张江,初级软件开发工程师,其他,20-99人,外商独资,1.2万-2.2万·13薪,本科,C C# C语言 PyTorch TensorFlow 深度学习框架 CARMEN MOOS Orocos 机器人开发 Linux开发,经验不限,156000.0,286000.0
