Unnamed: 0,position,city,specific_position,company_name,company_size,company_type,salary,education,ability,experience,min_annual_salary,max_annual_salary
134,前端开发,上海·青浦·香花桥,前端工程师,上海润术生物有限公司,20-99人,民营,9千-1.2万,大专,无要求,3-5年,108000.0,144000.0
135,前端开发,上海·浦东·洋泾,上海前端开发工程师,郑州乐驰软件科技有限公司,20-99人,民营,1万-1.5万,大专,无要求,1-3年,120000.0,180000.0
136,前端开发,上海·普陀·石泉路,【上海】前端开发,厦门至恒融兴信息技术股份有限公司福州分公司,计算机软件,100-299人,1.2万-1.5万,本科,无要求,3-5年,144000.0,180000.0
138,前端开发,上海·南京东路,前端开发工程师-满樽网络,上海中科新微信息科技园有限公司,20人以下,合资,1万-1.4万,本科,无要求,3-5年,120000.0,168000.0
139,前端开发,上海·浦东·张江,前端开发,广州秒到信息科技有限公司,20人以下,民营,1.5万-2万,本科,Java,经验不限,180000.0,240000.0
140,前端开发,上海·浦东·上钢新村,后端开发工程师/前端开发工程师,上海路轴医疗科技有限公司,20-99人,民营,1万-2万,本科,无要求,3-5年,120000.0,240000.0
141,前端开发,上海·普陀·曹杨新村,前端开发工程师,中邮科技,1000-9999人,国企,1.3万-2.5万,本科,无要求,3-5年,156000.0,300000.0
142,前端开发,上海·浦东·金桥,前端开发,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科,无要求,经验不限,210000.0,420000.0
143,前端开发,上海·青浦·徐泾,前端开发工程师,上海山怀信息科技有限公司,互联网,20-99人,1万-1.2万,大专,无要求,经验不限,120000.0,144000.0
144,前端开发,上海·黄浦·小东门,前端开发工程师 (MJ002418),上海东证期货有限公司,500-999人,国企,2万-3万,学历不限,无要求,3-5年,240000.0,360000.0
145,前端开发,上海·静安·大宁路,前端开发（大数据）,上海信息人才服务有限公司,100-299人,国企,1.5万-2万,本科,无要求,3-5年,180000.0,240000.0
146,前端开发,上海·浦东·金桥,前端开发,外企德科,1000-9999人,合资,1.5万-2.5万·14薪,本科,无要求,经验不限,210000.0,350000.0
147,前端开发,上海·静安·石门二路,VUE前端开发-HR系统 h5开发 SQL,其他,300-499人,民营,1.3万-1.4万,本科,无要求,3-5年,156000.0,168000.0
148,前端开发,上海·普陀·长征,WEB前端工程师,eDoctor,300-499人,合资,1万-1.5万,大专,Web前端 Javascript CSS3 jQuery,3-5年,120000.0,180000.0
149,前端开发,上海·浦东·金桥,前端开发,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科,无要求,经验不限,210000.0,420000.0
150,前端开发,上海·浦东·洋泾,前端开发/前端工程师（Vuejs方向）,上海旅云信息技术有限公司,电子商务,20-99人,1万-1.8万·14薪,本科,无要求,3-5年,140000.0,252000.0
